"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 21:27:53 GMT-04:00 2023","Mon Jan 02 21:27:56 GMT-04:00 2023","3379","Default Suite","Amazon Automation - Selenium","tests.VerifyPages","tests.VerifyPages","VerifyDealsPageTitle","VerifyDealsPageTitle",""
"passed","Mon Jan 02 21:29:30 GMT-04:00 2023","Mon Jan 02 21:29:35 GMT-04:00 2023","5188","Default Suite","Amazon Automation - Selenium","tests.session.Login","tests.session.Login","loginThruClickOnAllMenuSignInButton","loginThruClickOnAllMenuSignInButton","Log in through click on Sign in button on All menu."
"passed","Mon Jan 02 21:29:36 GMT-04:00 2023","Mon Jan 02 21:29:37 GMT-04:00 2023","1749","Default Suite","Amazon Automation - Selenium","tests.session.Login","tests.session.Login","loginWithInvalidEmail","loginWithInvalidEmail","Try to log in with invalid email."
"passed","Mon Jan 02 21:27:56 GMT-04:00 2023","Mon Jan 02 21:27:59 GMT-04:00 2023","2747","Default Suite","Amazon Automation - Selenium","tests.VerifyPages","tests.VerifyPages","VerifyGiftCardPageTitle","VerifyGiftCardPageTitle",""
"passed","Mon Jan 02 21:27:51 GMT-04:00 2023","Mon Jan 02 21:27:53 GMT-04:00 2023","1436","Default Suite","Amazon Automation - Selenium","tests.VerifyPages","tests.VerifyPages","VerifyCustomerServicePageTitle","VerifyCustomerServicePageTitle",""
"passed","Mon Jan 02 21:27:59 GMT-04:00 2023","Mon Jan 02 21:28:00 GMT-04:00 2023","1472","Default Suite","Amazon Automation - Selenium","tests.VerifyPages","tests.VerifyPages","VerifyRegistryPageTitle","VerifyRegistryPageTitle",""
"passed","Mon Jan 02 21:30:16 GMT-04:00 2023","Mon Jan 02 21:30:21 GMT-04:00 2023","4775","Default Suite","Amazon Automation - Selenium","tests.session.Logout","tests.session.Logout","logoutThruAllMenu","logoutThruAllMenu",""
"passed","Mon Jan 02 21:29:24 GMT-04:00 2023","Mon Jan 02 21:29:29 GMT-04:00 2023","4522","Default Suite","Amazon Automation - Selenium","tests.session.Login","tests.session.Login","loginThruClickOnAccountAndListsMenu","loginThruClickOnAccountAndListsMenu","Log in through click on Account and Lists menu."
"passed","Mon Jan 02 21:29:18 GMT-04:00 2023","Mon Jan 02 21:29:23 GMT-04:00 2023","5484","Default Suite","Amazon Automation - Selenium","tests.session.Login","tests.session.Login","loginThruHoverOnAccountAndListsMenu","loginThruHoverOnAccountAndListsMenu","log in through hover on Account and Lists menu."
"passed","Mon Jan 02 21:29:38 GMT-04:00 2023","Mon Jan 02 21:29:41 GMT-04:00 2023","2558","Default Suite","Amazon Automation - Selenium","tests.session.Login","tests.session.Login","loginWithIncorrectPassword","loginWithIncorrectPassword","Try to log in with invalid email."
"passed","Mon Jan 02 21:30:09 GMT-04:00 2023","Mon Jan 02 21:30:15 GMT-04:00 2023","5931","Default Suite","Amazon Automation - Selenium","tests.session.Logout","tests.session.Logout","logoutThruHoverOnAccountAndListsMenu","logoutThruHoverOnAccountAndListsMenu",""
